gt,set
The metabolism of DB01435 can be increased when combined with DB00252.,training
The metabolism of DB01068 can be increased when combined with DB00794.,training
The metabolism of DB01069 can be increased when combined with DB00794.,training
The metabolism of DB00377 can be increased when combined with DB01201.,testing
The metabolism of DB06694 can be increased when combined with DB01174.,training
The metabolism of DB01002 can be increased when combined with DB00615.,testing
The metabolism of DB00420 can be increased when combined with DB00418.,validation
The metabolism of DB00647 can be increased when combined with DB00252.,validation
The metabolism of DB13874 can be increased when combined with DB00312.,training
The metabolism of DB12026 can be increased when combined with DB01320.,training
The metabolism of DB01355 can be increased when combined with DB00564.,training
The metabolism of DB00991 can be increased when combined with DB00673.,testing
The metabolism of DB05271 can be increased when combined with DB01201.,validation
The metabolism of DB01274 can be increased when combined with DB01201.,validation
The metabolism of DB00475 can be increased when combined with DB00312.,validation
The metabolism of DB00647 can be increased when combined with DB00238.,training
The metabolism of DB00224 can be increased when combined with DB01174.,training
The metabolism of DB01171 can be increased when combined with DB00564.,training
The metabolism of DB00227 can be increased when combined with DB01174.,testing
The metabolism of DB00220 can be increased when combined with DB01174.,testing
The metabolism of DB00270 can be increased when combined with DB09280.,training
The metabolism of DB00222 can be increased when combined with DB01174.,training
The metabolism of DB00531 can be increased when combined with DB00238.,testing
The metabolism of DB01179 can be increased when combined with DB00564.,training
The metabolism of DB01120 can be increased when combined with DB00794.,validation
The metabolism of DB00278 can be increased when combined with DB09280.,training
The metabolism of DB01138 can be increased when combined with DB00615.,validation
The metabolism of DB00475 can be increased when combined with DB09280.,training
The metabolism of DB01075 can be increased when combined with DB00238.,training
The metabolism of DB01200 can be increased when combined with DB01174.,training
The metabolism of DB01103 can be increased when combined with DB01320.,training
The metabolism of DB01131 can be increased when combined with DB00615.,training
The metabolism of DB01132 can be increased when combined with DB00615.,training
The metabolism of DB01100 can be increased when combined with DB01320.,validation
The metabolism of DB01105 can be increased when combined with DB01320.,validation
The metabolism of DB09048 can be increased when combined with DB00418.,training
The metabolism of DB01075 can be increased when combined with DB00418.,training
The metabolism of DB00655 can be increased when combined with DB00252.,training
The metabolism of DB06292 can be increased when combined with DB00252.,testing
The metabolism of DB00628 can be increased when combined with DB00615.,testing
The metabolism of DB06777 can be increased when combined with DB00252.,training
The metabolism of DB06770 can be increased when combined with DB00252.,training
The metabolism of DB06772 can be increased when combined with DB00252.,training
The metabolism of DB01065 can be increased when combined with DB01174.,testing
The metabolism of DB00321 can be increased when combined with DB01045.,testing
The metabolism of DB01067 can be increased when combined with DB01174.,testing
The metabolism of DB00324 can be increased when combined with DB01045.,training
The metabolism of DB01075 can be increased when combined with DB00673.,testing
The metabolism of DB01028 can be increased when combined with DB00564.,training
The metabolism of DB00327 can be increased when combined with DB01045.,training
The metabolism of DB00328 can be increased when combined with DB01045.,testing
The metabolism of DB00498 can be increased when combined with DB00474.,testing
